Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Quality Assurance(QA) Tester,Chief Group Limited,,False,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-07-16 06:00:00,77276115,https://hk.jobsdb.com/job/77276115
"QA tester (Manual, 6-9 month Contract, 35 - 45K, MNC IT solution firm)",Recruit Logic Limited,,False,"Sha Tin, Sha Tin District",Information & Communication Technology,"$35,000 - $45,000 per month",2024-07-16 06:00:00,77280535,https://hk.jobsdb.com/job/77280535
Linguistic Software Tester - Cantonese Native Speaker (Hong Kong),WITS (Hong Kong) Limited,,False,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-17 06:00:00,77303606,https://hk.jobsdb.com/job/77303606
Linguistic Software Tester - Native Speakers of multiple languages (Talent Pool),WITS (Hong Kong) Limited,,False,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-10 06:00:00,77150443,https://hk.jobsdb.com/job/77150443
Software Tester For Bot Detection Company (R&D Role),Pgnet Limited,1,False,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,"$20,000 - $30,000 per month",2024-06-28 06:00:00,76887405,https://hk.jobsdb.com/job/76887405
(senior) Tester / Engineer (Quality Assurance) - Banking,Acton Consulting Limited,1,False,Hong Kong,Information & Communication Technology,,2024-07-17 06:00:00,77325113,https://hk.jobsdb.com/job/77325113
Software Quality Assurance Engineer,Time Medical Limited,,False,Sha Tin District,Information & Communication Technology,,2024-07-03 06:00:00,76981664,https://hk.jobsdb.com/job/76981664
Software Engineer (QA and BA) up to 40k,Pathsight Limited,1,False,Hong Kong,Information & Communication Technology,,2024-07-15 06:00:00,77268942,https://hk.jobsdb.com/job/77268942
QA Engineer (Manual Testing),Ambition,1,True,Central and Western District,Information & Communication Technology,,2024-07-16 06:00:00,77290671,https://hk.jobsdb.com/job/77290671
UAT Tester (Up to 35k),"CLPS Technology (Hong Kong) Co., Limited",,False,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-16 06:00:00,77287463,https://hk.jobsdb.com/job/77287463
Software Engineer,Time Medical Limited,,False,Sha Tin District,Information & Communication Technology,,2024-07-10 06:00:00,77134724,https://hk.jobsdb.com/job/77134724
QA Engineer ( Automation ),Hays Hong Kong Limited,2,False,Central and Western District,Information & Communication Technology,Basic salary + allowance + Bonus,2024-07-16 06:00:00,77292298,https://hk.jobsdb.com/job/77292298
QA Engineer 測試開發工程師,Biying Investment Limited,,False,"Tai Po, Tai Po District",Information & Communication Technology,"$30,000 - $40,000 per month",2024-07-17 17:00:00,77350274,https://hk.jobsdb.com/job/77350274
"Software Engineer (Automation/PRA/QA), IT Department",China Merchants Securities International Company Limited,,False,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-13 06:00:00,77246597,https://hk.jobsdb.com/job/77246597
Consulting - Digital Engineering - Software Quality Assurance - Senior/Associate,EY Mtel Solutions Limited,,True,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-13 06:00:00,75954690,https://hk.jobsdb.com/job/75954690
QA Tester (B2B online application) (1-year contract),Hong Kong Trade Development Council,1,True,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-06 06:00:00,77066272,https://hk.jobsdb.com/job/77066272
"Quality Engineer, Automation",Gemini Personnel Limited,3,False,Tsuen Wan District,Information & Communication Technology,"$30,000 - $35,000 per month",2024-07-17 10:00:00,77335739,https://hk.jobsdb.com/job/77335739
Quality Assurance (QA) Engineer / Specialist,Ocean Blue Supply Chain Management Co. Limited,1,False,Sha Tin District,Information & Communication Technology,,2024-07-10 06:00:00,77134537,https://hk.jobsdb.com/job/77134537
Software Engineer I/II (Ref# IT/ft/24-04),HKU SPACE Po Leung Kuk Stanley Ho Community College,3,False,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-16 06:00:00,77288146,https://hk.jobsdb.com/job/77288146
System Testing Engineer (Railway),Ground Transportation Systems (Hong Kong) Limited,3,False,"Tai Kok Tsui, Yau Tsim Mong District",Engineering,,2024-07-17 06:00:00,77304771,https://hk.jobsdb.com/job/77304771
"QA Engineer / Specialist (eCommerce, Perm, 50 - 60k)",Recruit Logic Limited,4,False,"Shek Mun, Sha Tin District",Information & Communication Technology,"$40,000 - $60,000 per month",2024-07-09 06:00:00,77107395,https://hk.jobsdb.com/job/77107395
Test Engineer (Job Ref. No. Apply-PH-2302-TE),Cloud Light Technology Philippines Inc.,2,False,"Science Park, Tai Po District",Information & Communication Technology,,2024-07-10 06:00:00,77150883,https://hk.jobsdb.com/job/77150883
Senior QA Engineer / Team Lead (UAT + Automation),PeopleLink Services Limited,3,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-09 06:00:00,77116043,https://hk.jobsdb.com/job/77116043
Senior Quality Assurance Engineer / Senior QA Engineer / Senior Test Engineer,GOGO TECH LTD,,False,"Kwun Tong, Kwun Tong District","Manufacturing, Transport & Logistics",,2024-07-09 06:00:00,77113721,https://hk.jobsdb.com/job/77113721
UAT Tester (Bank),Cornerstone Global Partners,1,False,"Central, Central and Western District",Information & Communication Technology,"$19,000 - $22,000 per month",2024-07-03 06:00:00,76434680,https://hk.jobsdb.com/job/76434680
Senior Quality Assurance Officer (Automation Engineer),Green Tomato Limited,3,False,"Kowloon Bay, Kwun Tong District","Manufacturing, Transport & Logistics",,2024-07-17 06:00:00,77311902,https://hk.jobsdb.com/job/77311902
Embedded Software Engineer,Solos Technology Limited,,True,Sha Tin District,Engineering,,2024-07-10 06:00:00,77158865,https://hk.jobsdb.com/job/77158865
Software Engineer,Solos Technology Limited,2,True,Sha Tin District,Information & Communication Technology,,2024-07-10 06:00:00,77158848,https://hk.jobsdb.com/job/77158848
Software Engineer (QA and BA) up to 40k,Pathsight Limited,1,False,Hong Kong,Information & Communication Technology,,2024-07-02 06:00:00,76949408,https://hk.jobsdb.com/job/76949408
Technical Analyst - Software Development (Java),Orient Overseas Container Line Ltd (OOCL),2,False,"Science Park, Tai Po District",Information & Communication Technology,,2024-07-10 06:00:00,77134356,https://hk.jobsdb.com/job/77134356
QA Engineer ( 25 - 50K ) | Junior to Senior,Osmium Consulting Group Limited,,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$25,000 - $37,500 per month",2024-07-04 06:00:00,77014287,https://hk.jobsdb.com/job/77014287
Quality Assurance(Customer Services) Officer (Fresh graduates are welcome),MediConCen Limited,,True,"San Po Kong, Wong Tai Sin District",Administration & Office Support,,2024-06-29 06:00:00,76910097,https://hk.jobsdb.com/job/76910097
Quality Assurance (QA) Engineer / Specialist,Ocean Blue Supply Chain Management Co. Limited,1,False,Sha Tin District,Information & Communication Technology,,2024-07-05 06:00:00,75688838,https://hk.jobsdb.com/job/75688838
UAT Tester (1-Year Contract),The Hong Kong Jockey Club,2,True,Sha Tin District,Information & Communication Technology,,2024-07-06 06:00:00,77080000,https://hk.jobsdb.com/job/77080000
Software Engineer / Software Programmer / Software Developer,Papabo Limited,,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-17 16:00:00,77348887,https://hk.jobsdb.com/job/77348887
Senior Software Engineer (C++/Linux),"Huawei Tech. Investment Co., Ltd",4,False,Sha Tin District,Information & Communication Technology,,2024-07-12 06:00:00,77208008,https://hk.jobsdb.com/job/77208008
QA Analyst - Banking (25K - 30K),Ambition,2,False,Islands District,Information & Communication Technology,,2024-07-05 06:00:00,77046983,https://hk.jobsdb.com/job/77046983
Web Accessibility Tester,ESD Services Limited (ESDlife),,False,"Hung Hom, Kowloon City District",Information & Communication Technology,,2024-07-05 06:00:00,77030937,https://hk.jobsdb.com/job/77030937
Assistant Test Engineer - Fiber Testing,Hohenstein Laboratories (HK) Limited,,True,"Kwai Chung, Kwai Tsing District",Science & Technology,,2024-07-11 06:00:00,77183401,https://hk.jobsdb.com/job/77183401
(Senior) Tester (Double pay + Bonus),On Way Limited,,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-04 06:00:00,73325497,https://hk.jobsdb.com/job/73325497
Multiple headcount**Manual QA Tester (Junior candidate is welcome),TEKsystems,1,False,Others,Information & Communication Technology,"$18,000 - $25,000 per month",2024-06-29 06:00:00,76912918,https://hk.jobsdb.com/job/76912918
UAT Testing - Banking Institution [Full Benefit | Inhouse],Recruit Express (Hong Kong) Limited,,True,Kwun Tong District,Information & Communication Technology,"$19,500 - $25,000 per month",2024-07-06 06:00:00,77070534,https://hk.jobsdb.com/job/77070534
"Specialist/Analyst, Quality Assurance (Healthcare)",DKSH Hong Kong Limited,,False,"Tsing Yi, Kwai Tsing District","Manufacturing, Transport & Logistics",,2024-07-12 06:00:00,77219135,https://hk.jobsdb.com/job/77219135
IT Software Engineer,Handao Technology Limited,,False,"Central, Central and Western District",Information & Communication Technology,"$35,000 - $45,000 per month",2024-07-03 06:00:00,76989997,https://hk.jobsdb.com/job/76989997
Software Test Engineer (Quality Assurance UAT /Junior System Analyst) (TR026),Triangle Recruitment,1,True,Yau Tsim Mong District,Information & Communication Technology,,2024-06-26 06:00:00,76812393,https://hk.jobsdb.com/job/76812393
QA Automation Engineer (Exchange / Trading Platform),Crypto.com,,False,"Admiralty, Central and Western District",Information & Communication Technology,,2024-07-04 06:00:00,77022397,https://hk.jobsdb.com/job/77022397
Data Analyst (Oracle preferred),Jobsdb - SmartHire,3,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-17 06:00:00,76859731,https://hk.jobsdb.com/job/76859731
Quality Assurance(QA) Tester,Chief Group Limited,,False,"Sheung Wan, Central and Western District",Information & Communication Technology,,2024-06-26 06:00:00,76158040,https://hk.jobsdb.com/job/76158040
